Sample.ID	Sentrix.Barcode	SampleSection	Batch	Date_out	Date_extraction	person	Conc_Nanodrop	Date_Dilutionand_Amplification	Date_cRNApurification	Date_Quantitation_by_RiboGreen	Eluted_Total_labelled_cRNA	labelled_cRNA_Yield	concentration_of_labelled_cRNA	Date_labelled_cRNA	Date_Hybridization_for_15_hours	Date_Washing_and_scanning
9216457025_J	9216457025	J	1	04/06/2013	05/06/2013	2	44.07	19/07/2013	20/07/2013	23/07/2013	40	29323.2	733.1	24/07/2013	24/07/2013	25/07/2013
9216457025_K	9216457025	K	1	29/05/2013	30/05/2013	1	32.7	19/07/2013	20/07/2013	23/07/2013	40	21555.6	538.9	24/07/2013	24/07/2013	25/07/2013
9216457025_L	9216457025	L	1	04/06/2013	05/06/2013	2	58.74	19/07/2013	20/07/2013	23/07/2013	40	29144.0	728.6	24/07/2013	24/07/2013	25/07/2013
9216457029_A	9216457029	A	1	28/05/2013	29/05/2013	2	35.61	19/07/2013	20/07/2013	23/07/2013	40	15089.2	377.2	24/07/2013	24/07/2013	25/07/2013
9216457029_B	9216457029	B	1	30/05/2013	31/05/2013	2	43.74	19/07/2013	20/07/2013	23/07/2013	40	24260.8	606.5	24/07/2013	24/07/2013	25/07/2013
9216457029_C	9216457029	C	1	29/05/2013	29/05/2013	1	71.17	19/07/2013	20/07/2013	23/07/2013	40	19663.2	491.6	24/07/2013	24/07/2013	25/07/2013
9216457029_D	9216457029	D	1	03/06/2013	04/06/2013	2	80.3	19/07/2013	20/07/2013	23/07/2013	40	46461.6	1161.5	24/07/2013	24/07/2013	25/07/2013
9216457029_E	9216457029	E	1	29/05/2013	29/05/2013	1	79.73	19/07/2013	20/07/2013	23/07/2013	40	14001.6	350.0	24/07/2013	24/07/2013	25/07/2013
9216457029_F	9216457029	F	1	03/06/2013	04/06/2013	2	39.38	19/07/2013	20/07/2013	23/07/2013	40	27475.2	686.9	24/07/2013	24/07/2013	25/07/2013
9216457029_G	9216457029	G	1	29/05/2013	30/05/2013	2	21.18	19/07/2013	20/07/2013	23/07/2013	40	16864.4	421.6	24/07/2013	24/07/2013	25/07/2013
9216457029_H	9216457029	H	1	03/06/2013	04/06/2013	1	96.29	19/07/2013	20/07/2013	23/07/2013	40	19148.4	478.7	24/07/2013	24/07/2013	25/07/2013
9216457029_I	9216457029	I	1	29/05/2013	30/05/2013	1	81.12	19/07/2013	20/07/2013	23/07/2013	40	33060.0	826.5	24/07/2013	24/07/2013	25/07/2013
9216457029_J	9216457029	J	1	04/06/2013	05/06/2013	2	19.68	19/07/2013	20/07/2013	23/07/2013	40	15780.0	394.5	24/07/2013	24/07/2013	25/07/2013
9216457029_K	9216457029	K	1	29/05/2013	30/05/2013	1	143.54	19/07/2013	20/07/2013	23/07/2013	40	6934.4	173.4	24/07/2013	24/07/2013	25/07/2013
9216457029_L	9216457029	L	1	04/06/2013	05/06/2013	2	55.78	19/07/2013	20/07/2013	23/07/2013	40	25748.4	643.7	24/07/2013	24/07/2013	25/07/2013
9216457032_A	9216457032	A	1	28/05/2013	29/05/2013	2	66.82	19/07/2013	20/07/2013	23/07/2013	40	21626.8	540.7	24/07/2013	24/07/2013	25/07/2013
9216457032_B	9216457032	B	1	30/05/2013	31/05/2013	2	51.31	19/07/2013	20/07/2013	23/07/2013	40	21164.8	529.1	24/07/2013	24/07/2013	25/07/2013
9216457032_C	9216457032	C	1	29/05/2013	29/05/2013	1	43.51	19/07/2013	20/07/2013	23/07/2013	40	23090.4	577.3	24/07/2013	24/07/2013	25/07/2013
9216457032_D	9216457032	D	1	03/06/2013	04/06/2013	2	67.7	19/07/2013	20/07/2013	23/07/2013	40	28254.8	706.4	24/07/2013	24/07/2013	25/07/2013
9216457032_E	9216457032	E	1	29/05/2013	29/05/2013	1	40.79	19/07/2013	20/07/2013	23/07/2013	40	6255.6	156.4	24/07/2013	24/07/2013	25/07/2013
9216457032_F	9216457032	F	1	03/06/2013	04/06/2013	2	36.17	19/07/2013	20/07/2013	23/07/2013	40	29014.4	725.4	24/07/2013	24/07/2013	25/07/2013
9216457032_G	9216457032	G	1	29/05/2013	30/05/2013	2	80.09	19/07/2013	20/07/2013	23/07/2013	40	12829.6	320.7	24/07/2013	24/07/2013	25/07/2013
9216457032_H	9216457032	H	1	03/06/2013	04/06/2013	1	156.91	19/07/2013	20/07/2013	23/07/2013	40	25247.2	631.2	24/07/2013	24/07/2013	25/07/2013
9216457032_I	9216457032	I	1	29/05/2013	30/05/2013	1	100.24	19/07/2013	20/07/2013	23/07/2013	40	26892.8	672.3	24/07/2013	24/07/2013	25/07/2013
9216457032_J	9216457032	J	1	04/06/2013	05/06/2013	2	33.07	19/07/2013	20/07/2013	23/07/2013	40	10719.6	268.0	24/07/2013	24/07/2013	25/07/2013
9216457032_K	9216457032	K	1	29/05/2013	30/05/2013	1	103.87	19/07/2013	20/07/2013	23/07/2013	40	19108.4	477.7	24/07/2013	24/07/2013	25/07/2013
9216457032_L	9216457032	L	1			2		19/07/2013	20/07/2013	23/07/2013	40	51989.2	1299.7	24/07/2013	24/07/2013	25/07/2013
9216457033_A	9216457033	A	1	05/06/2013	06/06/2013	2	72.97	19/07/2013	20/07/2013	23/07/2013	40	32424.4	810.6	24/07/2013	24/07/2013	25/07/2013
9216457033_B	9216457033	B	1	24/06/2013	24/06/2013	2	39.57	19/07/2013	20/07/2013	23/07/2013	40	29938.4	748.5	24/07/2013	24/07/2013	25/07/2013
9216457033_C	9216457033	C	1	05/06/2013	06/06/2013	2	31.6	19/07/2013	20/07/2013	23/07/2013	40	1154.4	28.9	24/07/2013	24/07/2013	25/07/2013
9216457033_D	9216457033	D	1	24/06/2013	24/06/2013	2	101.87	19/07/2013	20/07/2013	23/07/2013	40	22060.8	551.5	24/07/2013	24/07/2013	25/07/2013
9216457033_E	9216457033	E	1	06/06/2013	07/06/2013	4	75.92	19/07/2013	20/07/2013	23/07/2013	40	16859.6	421.5	24/07/2013	24/07/2013	25/07/2013
9216457033_F	9216457033	F	1	25/06/2013	25/06/2013	2	60.67	19/07/2013	20/07/2013	23/07/2013	40	27224.4	680.6	24/07/2013	24/07/2013	25/07/2013
9216457033_G	9216457033	G	1	19/06/2013	19/06/2013	2	30.31	19/07/2013	20/07/2013	23/07/2013	40	16988.0	424.7	24/07/2013	24/07/2013	25/07/2013
9216457033_H	9216457033	H	1	25/06/2013	26/06/2013	5	68.58	19/07/2013	20/07/2013	23/07/2013	40	31066.4	776.7	24/07/2013	24/07/2013	25/07/2013
9216457033_I	9216457033	I	1	19/06/2013	19/06/2013	2	154.32	19/07/2013	20/07/2013	23/07/2013	40	17070.4	426.8	24/07/2013	24/07/2013	25/07/2013
9216457033_J	9216457033	J	1	25/06/2013	26/06/2013	5	89	19/07/2013	20/07/2013	23/07/2013	40	18563.6	464.1	24/07/2013	24/07/2013	25/07/2013
9216457033_K	9216457033	K	1	21/06/2013	21/06/2013	2	29.93	19/07/2013	20/07/2013	23/07/2013	40	33203.2	830.1	24/07/2013	24/07/2013	25/07/2013
9216457033_L	9216457033	L	1	25/06/2013	26/06/2013	3	12.69	19/07/2013	20/07/2013	23/07/2013	40	27061.6	676.5	24/07/2013	24/07/2013	25/07/2013
9234921047_A	9234921047	A	1	25/04/2013	25/04/2013	2	47.19	07/08/2013	08/08/2016	08/08/2013	40	21226.2	530.7	08/08/2013	08/08/2013	09/08/2013
9234921047_B	9234921047	B	1	02/05/2013	02/05/2013	2	52.66	07/08/2013	08/08/2016	08/08/2013	40	26435.8	660.9	08/08/2013	08/08/2013	09/08/2013
9234921047_C	9234921047	C	1	25/04/2013	25/04/2013	2	73.07	07/08/2013	08/08/2016	08/08/2013	40	28821.8	720.5	08/08/2013	08/08/2013	09/08/2013
9234921047_D	9234921047	D	1	02/05/2013	02/05/2013	2	79.39	07/08/2013	08/08/2016	08/08/2013	40	27611.0	690.3	08/08/2013	08/08/2013	09/08/2013
9234921047_E	9234921047	E	1	26/04/2013	26/04/2013	2	57.85	07/08/2013	08/08/2016	08/08/2013	40	37101.0	927.5	08/08/2013	08/08/2013	09/08/2013
9234921047_F	9234921047	F	1	07/05/2013	07/05/2013	2	17.35	07/08/2013	08/08/2016	08/08/2013	40	25999.6	650.0	08/08/2013	08/08/2013	09/08/2013
9234921047_G	9234921047	G	1	29/04/2013	29/04/2013	2	49.96	07/08/2013	08/08/2016	08/08/2013	40	28273.8	706.8	08/08/2013	08/08/2013	09/08/2013
9234921047_H	9234921047	H	1	07/05/2013	08/05/2013	1	19.69	07/08/2013	08/08/2016	08/08/2013	40	27432.6	685.8	08/08/2013	08/08/2013	09/08/2013
9234921047_I	9234921047	I	1	29/04/2013	29/04/2013	2	104.65	07/08/2013	08/08/2016	08/08/2013	40	7214.8	180.4	08/08/2013	08/08/2013	09/08/2013
9234921047_J	9234921047	J	1	07/05/2013	08/05/2013	1	47.34	07/08/2013	08/08/2016	08/08/2013	40	22929.0	573.2	08/08/2013	08/08/2013	09/08/2013
9234921047_K	9234921047	K	1	29/04/2013	30/04/2013	1	49.38	07/08/2013	08/08/2016	08/08/2013	40	23651.2	591.3	08/08/2013	08/08/2013	09/08/2013
9234921047_L	9234921047	L	1	13/05/2013	14/05/2013	1	39.95	07/08/2013	08/08/2016	08/08/2013	40	14565.2	364.1	08/08/2013	08/08/2013	09/08/2013
9234921059_A	9234921059	A	1	25/04/2013	25/04/2013	2	82.57	07/08/2013	08/08/2016	08/08/2013	40	17132.8	428.3	08/08/2013	08/08/2013	09/08/2013
9234921059_B	9234921059	B	1	02/05/2013	02/05/2013	2	83.79	07/08/2013	08/08/2016	08/08/2013	40	29129.0	728.2	08/08/2013	08/08/2013	09/08/2013
9234921059_C	9234921059	C	1	25/04/2013	25/04/2013	2	49.39	07/08/2013	08/08/2016	08/08/2013	40	23853.0	596.3	08/08/2013	08/08/2013	09/08/2013
9234921059_D	9234921059	D	1	02/05/2013	02/05/2013	2	118.59	07/08/2013	08/08/2016	08/08/2013	40	29723.6	743.1	08/08/2013	08/08/2013	09/08/2013
9234921059_E	9234921059	E	1	26/04/2013	26/04/2013	2	54.24	07/08/2013	08/08/2016	08/08/2013	40	26749.4	668.7	08/08/2013	08/08/2013	09/08/2013
9234921059_F	9234921059	F	1	07/05/2013	07/05/2013	2	68.76	07/08/2013	08/08/2016	08/08/2013	40	27249.0	681.2	08/08/2013	08/08/2013	09/08/2013
9234921059_G	9234921059	G	1	29/04/2013	29/04/2013	2	26.35	07/08/2013	08/08/2016	08/08/2013	40	35984.2	899.6	08/08/2013	08/08/2013	09/08/2013
9234921059_H	9234921059	H	1	07/05/2013	08/05/2013	1	83.05	07/08/2013	08/08/2016	08/08/2013	40	26944.4	673.6	08/08/2013	08/08/2013	09/08/2013
9234921059_I	9234921059	I	1	29/04/2013	29/04/2013	2	108.72	07/08/2013	08/08/2016	08/08/2013	40	207.2	5.2	08/08/2013	08/08/2013	09/08/2013
9234921059_J	9234921059	J	1	07/05/2013	08/05/2013	1	79.86	07/08/2013	08/08/2016	08/08/2013	40	27324.2	683.1	08/08/2013	08/08/2013	09/08/2013
9234921059_K	9234921059	K	1	29/04/2013	30/04/2013	1	49.66	07/08/2013	08/08/2016	08/08/2013	40	26483.6	662.1	08/08/2013	08/08/2013	09/08/2013
9234921059_L	9234921059	L	1	13/05/2013	14/05/2013	1	62.47	07/08/2013	08/08/2016	08/08/2013	40	15722.4	393.1	08/08/2013	08/08/2013	09/08/2013
9234921061_A	9234921061	A	1	01/07/2013	01/07/2013	2	42.38	24/07/2013	25/07/2013	30/07/2013	40	18337.8	458.4	05/08/2013	05/08/2013	06/08/2013
9234921061_B	9234921061	B	1	01/07/2013	01/07/2013	2	36.01	24/07/2013	25/07/2013	30/07/2013	40	11217.2	280.4	05/08/2013	05/08/2013	06/08/2013
9234921061_C	9234921061	C	1	01/07/2013	01/07/2013	2	111.16	24/07/2013	25/07/2013	30/07/2013	40	15621.8	390.5	05/08/2013	05/08/2013	06/08/2013
9234921061_D	9234921061	D	1	01/07/2013	01/07/2013	2	70.4	24/07/2013	25/07/2013	30/07/2013	40	7610.2	190.3	05/08/2013	05/08/2013	06/08/2013
9234921061_E	9234921061	E	1	01/07/2013	01/07/2013	2	104.36	24/07/2013	25/07/2013	30/07/2013	40	11780.8	294.5	05/08/2013	05/08/2013	06/08/2013
9234921061_F	9234921061	F	1	01/07/2013	01/07/2013	2	59.25	24/07/2013	25/07/2013	30/07/2013	40	9430.4	235.8	05/08/2013	05/08/2013	06/08/2013
9234921061_G	9234921061	G	1	01/07/2013	01/07/2013	2	75.38	24/07/2013	25/07/2013	30/07/2013	40	11643.6	291.1	05/08/2013	05/08/2013	06/08/2013
9234921061_H	9234921061	H	1	01/07/2013	01/07/2013	2	84.56	24/07/2013	25/07/2013	30/07/2013	40	7568.8	189.2	05/08/2013	05/08/2013	06/08/2013
9234921061_I	9234921061	I	1	01/07/2013	01/07/2013	2	46.88	24/07/2013	25/07/2013	30/07/2013	40	6822.0	170.6	05/08/2013	05/08/2013	06/08/2013
9234921061_J	9234921061	J	1	01/07/2013	02/07/2013	3	156.93	24/07/2013	25/07/2013	30/07/2013	40	9226.8	230.7	05/08/2013	05/08/2013	06/08/2013
9234921061_K	9234921061	K	1	01/07/2013	01/07/2013	2	177.97	24/07/2013	25/07/2013	30/07/2013	40	8820.4	220.5	05/08/2013	05/08/2013	06/08/2013
9234921061_L	9234921061	L	1	01/07/2013	02/07/2013	3	63.37	24/07/2013	25/07/2013	30/07/2013	40	13452.6	336.3	05/08/2013	05/08/2013	06/08/2013
9234921063_A	9234921063	A	1	25/04/2013	25/04/2013	2	44.14	07/08/2013	08/08/2016	08/08/2013	40	23985.8	599.6	08/08/2013	08/08/2013	09/08/2013
9234921063_B	9234921063	B	1	02/05/2013	02/05/2013	2	17.72	07/08/2013	08/08/2016	08/08/2013	40	28173.2	704.3	08/08/2013	08/08/2013	09/08/2013
9234921063_C	9234921063	C	1	25/04/2013	25/04/2013	2	20.36	07/08/2013	08/08/2016	08/08/2013	40	31270.2	781.8	08/08/2013	08/08/2013	09/08/2013
9234921063_D	9234921063	D	1	02/05/2013	02/05/2013	2	49.44	07/08/2013	08/08/2016	08/08/2013	40	29728.4	743.2	08/08/2013	08/08/2013	09/08/2013
9234921063_E	9234921063	E	1	26/04/2013	26/04/2013	2	37.15	07/08/2013	08/08/2016	08/08/2013	40	33690.0	842.3	08/08/2013	08/08/2013	09/08/2013
9234921063_F	9234921063	F	1	07/05/2013	07/05/2013	2	105.5	07/08/2013	08/08/2016	08/08/2013	40	29205.2	730.1	08/08/2013	08/08/2013	09/08/2013
9234921063_G	9234921063	G	1	29/04/2013	29/04/2013	2	89.92	07/08/2013	08/08/2016	08/08/2013	40	25208.6	630.2	08/08/2013	08/08/2013	09/08/2013
9234921063_H	9234921063	H	1	07/05/2013	08/05/2013	1	84.13	07/08/2013	08/08/2016	08/08/2013	40	22447.4	561.2	08/08/2013	08/08/2013	09/08/2013
9234921063_I	9234921063	I	1	29/04/2013	29/04/2013	2	53.29	07/08/2013	08/08/2016	08/08/2013	40	30753.2	768.8	08/08/2013	08/08/2013	09/08/2013
9234921063_J	9234921063	J	1	07/05/2013	08/05/2013	1	138.45	07/08/2013	08/08/2016	08/08/2013	40	32982.2	824.6	08/08/2013	08/08/2013	09/08/2013
9234921063_K	9234921063	K	1	29/04/2013	30/04/2013	1	37.78	07/08/2013	08/08/2016	08/08/2013	40	26853.8	671.3	08/08/2013	08/08/2013	09/08/2013
9234921063_L	9234921063	L	1	13/05/2013	14/05/2013	1	65.8	07/08/2013	08/08/2016	08/08/2013	40	25915.6	647.9	08/08/2013	08/08/2013	09/08/2013
9234921065_A	9234921065	A	1	25/04/2013	25/04/2013	2	44.39	07/08/2013	08/08/2016	08/08/2013	40	27456.8	686.4	08/08/2013	08/08/2013	09/08/2013
9234921065_B	9234921065	B	1	02/05/2013	02/05/2013	2	24.74	07/08/2013	08/08/2016	08/08/2013	40	27542.6	688.6	08/08/2013	08/08/2013	09/08/2013
9234921065_C	9234921065	C	1	25/04/2013	25/04/2013	2	56.04	07/08/2013	08/08/2016	08/08/2013	40	26598.0	665.0	08/08/2013	08/08/2013	09/08/2013
9234921065_D	9234921065	D	1	02/05/2013	02/05/2013	2	66.51	07/08/2013	08/08/2016	08/08/2013	40	26426.0	660.7	08/08/2013	08/08/2013	09/08/2013
9234921065_E	9234921065	E	1	26/04/2013	26/04/2013	2	38.73	07/08/2013	08/08/2016	08/08/2013	40	27403.4	685.1	08/08/2013	08/08/2013	09/08/2013
9234921065_F	9234921065	F	1	07/05/2013	07/05/2013	2	46.6	07/08/2013	08/08/2016	08/08/2013	40	24818.8	620.5	08/08/2013	08/08/2013	09/08/2013
9234921065_G	9234921065	G	1	29/04/2013	29/04/2013	2	76.38	07/08/2013	08/08/2016	08/08/2013	40	39863.0	996.6	08/08/2013	08/08/2013	09/08/2013
9234921065_H	9234921065	H	1	07/05/2013	08/05/2013	1	52.77	07/08/2013	08/08/2016	08/08/2013	40	22460.4	561.5	08/08/2013	08/08/2013	09/08/2013
9234921065_I	9234921065	I	1	29/04/2013	29/04/2013	2	114.61	07/08/2013	08/08/2016	08/08/2013	40	28700.0	717.5	08/08/2013	08/08/2013	09/08/2013
9234921065_J	9234921065	J	1	07/05/2013	08/05/2013	1	77.51	07/08/2013	08/08/2016	08/08/2013	40	26783.0	669.6	08/08/2013	08/08/2013	09/08/2013
9234921065_K	9234921065	K	1	29/04/2013	30/04/2013	1	5.34	07/08/2013	08/08/2016	08/08/2013	40	10602.4	265.1	08/08/2013	08/08/2013	09/08/2013
9234921065_L	9234921065	L	1	13/05/2013	14/05/2013	1	43.31	07/08/2013	08/08/2016	08/08/2013	40	30759.0	769.0	08/08/2013	08/08/2013	09/08/2013
9234921066_A	9234921066	A	1	25/04/2013	25/04/2013	2	55.35	07/08/2013	08/08/2016	08/08/2013	40	25512.6	637.8	08/08/2013	08/08/2013	09/08/2013
9234921066_B	9234921066	B	1	02/05/2013	02/05/2013	2	58.29	07/08/2013	08/08/2016	08/08/2013	40	27156.2	678.9	08/08/2013	08/08/2013	09/08/2013
9234921066_C	9234921066	C	1	26/04/2013	26/04/2013	2	68.02	07/08/2013	08/08/2016	08/08/2013	40	27443.2	686.1	08/08/2013	08/08/2013	09/08/2013
9234921066_D	9234921066	D	1	07/05/2013	07/05/2013	2	146.17	07/08/2013	08/08/2016	08/08/2013	40	21269.4	531.7	08/08/2013	08/08/2013	09/08/2013
9234921066_E	9234921066	E	1	26/04/2013	26/04/2013	2	65.73	07/08/2013	08/08/2016	08/08/2013	40	27971.2	699.3	08/08/2013	08/08/2013	09/08/2013
9234921066_F	9234921066	F	1	07/05/2013	07/05/2013	2	91.13	07/08/2013	08/08/2016	08/08/2013	40	24142.8	603.6	08/08/2013	08/08/2013	09/08/2013
9234921066_G	9234921066	G	1	29/04/2013	29/04/2013	2	91.95	07/08/2013	08/08/2016	08/08/2013	40	20687.6	517.2	08/08/2013	08/08/2013	09/08/2013
9234921066_H	9234921066	H	1	07/05/2013	08/05/2013	1	73.6	07/08/2013	08/08/2016	08/08/2013	40	31273.2	781.8	08/08/2013	08/08/2013	09/08/2013
9234921066_I	9234921066	I	1	29/04/2013	30/04/2013	1	64.09	07/08/2013	08/08/2016	08/08/2013	40	31298.6	782.5	08/08/2013	08/08/2013	09/08/2013
9234921066_J	9234921066	J	1	13/05/2013	14/05/2013	1	75.78	07/08/2013	08/08/2016	08/08/2013	40	29728.4	743.2	08/08/2013	08/08/2013	09/08/2013
9234921066_K	9234921066	K	1	29/04/2013	30/04/2013	1	50.11	07/08/2013	08/08/2016	08/08/2013	40	26779.6	669.5	08/08/2013	08/08/2013	09/08/2013
9234921066_L	9234921066	L	1	13/05/2013	14/05/2013	1	82.24	07/08/2013	08/08/2016	08/08/2013	40	26723.4	668.1	08/08/2013	08/08/2013	09/08/2013
9234921070_A	9234921070	A	1	05/06/2013	06/06/2013	2	138.84	19/07/2013	20/07/2013	23/07/2013	40	39823.6	995.6	24/07/2013	24/07/2013	25/07/2013
9234921070_B	9234921070	B	1	24/06/2013	24/06/2013	2	48.16	19/07/2013	20/07/2013	23/07/2013	40	27910.4	697.8	24/07/2013	24/07/2013	25/07/2013
9234921070_C	9234921070	C	1	05/06/2013	06/06/2013	2	93.05	19/07/2013	20/07/2013	23/07/2013	40	19297.2	482.4	24/07/2013	24/07/2013	25/07/2013
9234921070_D	9234921070	D	1	24/06/2013	24/06/2013	2	32.24	19/07/2013	20/07/2013	23/07/2013	40	34998.8	875.0	24/07/2013	24/07/2013	25/07/2013
9234921070_E	9234921070	E	1	06/06/2013	07/06/2013	4	55.14	19/07/2013	20/07/2013	23/07/2013	40	13180.4	329.5	24/07/2013	24/07/2013	25/07/2013
9234921070_F	9234921070	F	1	25/06/2013	25/06/2013	2	84.47	19/07/2013	20/07/2013	23/07/2013	40	27531.2	688.3	24/07/2013	24/07/2013	25/07/2013
9234921070_G	9234921070	G	1	19/06/2013	19/06/2013	2	49.1	19/07/2013	20/07/2013	23/07/2013	40	22095.6	552.4	24/07/2013	24/07/2013	25/07/2013
9234921070_H	9234921070	H	1	25/06/2013	26/06/2013	5	72.06	19/07/2013	20/07/2013	23/07/2013	40	27973.6	699.3	24/07/2013	24/07/2013	25/07/2013
9234921070_I	9234921070	I	1	19/06/2013	19/06/2013	2	58.82	19/07/2013	20/07/2013	23/07/2013	40	29139.6	728.5	24/07/2013	24/07/2013	25/07/2013
9234921070_J	9234921070	J	1	25/06/2013	26/06/2013	5	79.39	19/07/2013	20/07/2013	23/07/2013	40	37824.0	945.6	24/07/2013	24/07/2013	25/07/2013
9234921070_K	9234921070	K	1	21/06/2013	21/06/2013	2	110.91	19/07/2013	20/07/2013	23/07/2013	40	26229.6	655.7	24/07/2013	24/07/2013	25/07/2013
9234921070_L	9234921070	L	1	25/06/2013	26/06/2013	3	4.11	19/07/2013	20/07/2013	23/07/2013	40	12068.4	301.7	24/07/2013	24/07/2013	25/07/2013
9234921074_A	9234921074	A	1	05/06/2013	06/06/2013	2	347.8	19/07/2013	20/07/2013	23/07/2013	40	41408.8	1035.2	24/07/2013	24/07/2013	25/07/2013
9234921074_B	9234921074	B	1	24/06/2013	24/06/2013	2	59.48	19/07/2013	20/07/2013	23/07/2013	40	33886.4	847.2	24/07/2013	24/07/2013	25/07/2013
9234921074_C	9234921074	C	1	05/06/2013	06/06/2013	2	65.57	19/07/2013	20/07/2013	23/07/2013	40	23921.6	598.0	24/07/2013	24/07/2013	25/07/2013
9234921074_D	9234921074	D	1	24/06/2013	24/06/2013	2	114.69	19/07/2013	20/07/2013	23/07/2013	40	41090.4	1027.3	24/07/2013	24/07/2013	25/07/2013
9234921074_E	9234921074	E	1	06/06/2013	07/06/2013	4	267.48	19/07/2013	20/07/2013	23/07/2013	40	13829.2	345.7	24/07/2013	24/07/2013	25/07/2013
9234921074_F	9234921074	F	1	25/06/2013	25/06/2013	2	181.09	19/07/2013	20/07/2013	23/07/2013	40	27012.8	675.3	24/07/2013	24/07/2013	25/07/2013
9234921074_G	9234921074	G	1	19/06/2013	19/06/2013	2	61.66	19/07/2013	20/07/2013	23/07/2013	40	12073.6	301.8	24/07/2013	24/07/2013	25/07/2013
9234921074_H	9234921074	H	1	25/06/2013	26/06/2013	5	137.52	19/07/2013	20/07/2013	23/07/2013	40	35121.2	878.0	24/07/2013	24/07/2013	25/07/2013
9234921074_I	9234921074	I	1	19/06/2013	19/06/2013	2	76	19/07/2013	20/07/2013	23/07/2013	40	19486.4	487.2	24/07/2013	24/07/2013	25/07/2013
9234921074_J	9234921074	J	1	25/06/2013	26/06/2013	5	71.82	19/07/2013	20/07/2013	23/07/2013	40	33089.2	827.2	24/07/2013	24/07/2013	25/07/2013
9234921074_K	9234921074	K	1	21/06/2013	21/06/2013	2	81.67	19/07/2013	20/07/2013	23/07/2013	40	26026.0	650.7	24/07/2013	24/07/2013	25/07/2013
9234921074_L	9234921074	L	1	25/06/2013	26/06/2013	3	50.49	19/07/2013	20/07/2013	23/07/2013	40	24447.6	611.2	24/07/2013	24/07/2013	25/07/2013
9234921077_A	9234921077	A	1	05/06/2013	06/06/2013	2	141.81	19/07/2013	20/07/2013	23/07/2013	40	23086.0	577.2	24/07/2013	24/07/2013	25/07/2013
9234921077_B	9234921077	B	1	24/06/2013	24/06/2013	2	47.92	19/07/2013	20/07/2013	23/07/2013	40	33286.8	832.2	24/07/2013	24/07/2013	25/07/2013
9234921077_C	9234921077	C	1	06/06/2013	07/06/2013	4	69.34	19/07/2013	20/07/2013	23/07/2013	40	27871.6	696.8	24/07/2013	24/07/2013	25/07/2013
9234921077_D	9234921077	D	1	25/06/2013	25/06/2013	2	61.31	19/07/2013	20/07/2013	23/07/2013	40	21748.0	543.7	24/07/2013	24/07/2013	25/07/2013
9234921077_E	9234921077	E	1	06/06/2013	07/06/2013	4	55.87	19/07/2013	20/07/2013	23/07/2013	40	18997.6	474.9	24/07/2013	24/07/2013	25/07/2013
9234921077_F	9234921077	F	1	25/06/2013	25/06/2013	2	116.83	19/07/2013	20/07/2013	23/07/2013	40	28059.6	701.5	24/07/2013	24/07/2013	25/07/2013
9234921077_G	9234921077	G	1	19/06/2013	19/06/2013	2	39.14	19/07/2013	20/07/2013	23/07/2013	40	27262.4	681.6	24/07/2013	24/07/2013	25/07/2013
9234921077_H	9234921077	H	1	25/06/2013	26/06/2013	5	149.51	19/07/2013	20/07/2013	23/07/2013	40	19234.4	480.9	24/07/2013	24/07/2013	25/07/2013
9234921077_I	9234921077	I	1	21/06/2013	21/06/2013	2	127.19	19/07/2013	20/07/2013	23/07/2013	40	28617.6	715.4	24/07/2013	24/07/2013	25/07/2013
9234921077_J	9234921077	J	1	25/06/2013	26/06/2013	3	2.05	19/07/2013	20/07/2013	23/07/2013	40	4906.4	122.7	24/07/2013	24/07/2013	25/07/2013
9234921077_K	9234921077	K	1	21/06/2013	21/06/2013	2	78.89	19/07/2013	20/07/2013	23/07/2013	40	29727.6	743.2	24/07/2013	24/07/2013	25/07/2013
9234921077_L	9234921077	L	1	25/06/2013	26/06/2013	3	212.31	19/07/2013	20/07/2013	23/07/2013	40	24026.4	600.7	24/07/2013	24/07/2013	25/07/2013
9234921082_A	9234921082	A	1	05/06/2013	06/06/2013	2	43.9	19/07/2013	20/07/2013	23/07/2013	40	39337.2	983.4	24/07/2013	24/07/2013	25/07/2013
9234921082_B	9234921082	B	1	24/06/2013	24/06/2013	2	93.02	19/07/2013	20/07/2013	23/07/2013	40	22801.2	570.0	24/07/2013	24/07/2013	25/07/2013
9234921082_C	9234921082	C	1	06/06/2013	07/06/2013	4	92.6	19/07/2013	20/07/2013	23/07/2013	40	10183.2	254.6	24/07/2013	24/07/2013	25/07/2013
9234921082_D	9234921082	D	1	25/06/2013	25/06/2013	2	91.56	19/07/2013	20/07/2013	23/07/2013	40	33253.2	831.3	24/07/2013	24/07/2013	25/07/2013
9234921082_E	9234921082	E	1	06/06/2013	07/06/2013	4	95.96	19/07/2013	20/07/2013	23/07/2013	40	23600.8	590.0	24/07/2013	24/07/2013	25/07/2013
9234921082_F	9234921082	F	1	25/06/2013	25/06/2013	2	113.27	19/07/2013	20/07/2013	23/07/2013	40	23466.0	586.7	24/07/2013	24/07/2013	25/07/2013
9234921082_G	9234921082	G	1	19/06/2013	19/06/2013	2	130.34	19/07/2013	20/07/2013	23/07/2013	40	27887.2	697.2	24/07/2013	24/07/2013	25/07/2013
9234921082_H	9234921082	H	1	25/06/2013	26/06/2013	5	18.74	19/07/2013	20/07/2013	23/07/2013	40	22448.4	561.2	24/07/2013	24/07/2013	25/07/2013
